,sumA,sumO,sumE,sumN,sumC,age
2389,15,18,-2,-14,1,16
2390,15,18,-12,-21,-6,16
2391,6,9,-4,-28,0,16
2392,11,15,-3,-13,2,16
2393,4,12,-7,-25,-1,16
2394,1,10,-21,-25,-2,16
2395,2,9,1,-16,-5,16
2396,12,9,-9,-26,-5,16
2397,17,14,-7,-22,-1,16
2398,22,13,2,-15,2,16
2399,25,25,-3,-12,8,16
2400,22,22,3,-13,10,16
2401,19,24,-6,-15,4,16
2402,7,14,-2,-21,1,16
2403,19,6,-3,-12,-2,16
2404,9,22,-6,-22,2,16
2405,13,14,-3,-17,-2,16
2406,24,21,-6,-29,19,16
2407,17,17,-14,-30,-7,16
2408,11,20,-22,-33,-10,16
2409,-2,11,6,-12,2,16
2410,0,10,-6,-23,1,16
2411,10,11,-13,-15,-1,16
2412,3,15,-4,-17,-3,16
2413,12,-2,-18,-20,3,16
2414,18,17,-12,-24,2,16
2415,23,25,0,-9,5,16
2416,14,19,-13,-12,6,16
2417,16,12,-12,-22,3,16
2418,16,21,-12,-20,7,16
2419,20,17,0,-15,7,16
2420,20,15,-22,-24,-5,16
2421,9,17,-16,-19,-1,16
2422,14,16,-5,-13,-1,16
2423,21,13,1,-27,-2,16
2424,16,15,-1,-21,4,16
2425,16,18,0,-31,3,16
2426,-1,21,-4,-31,-7,16
2427,21,16,-6,-13,5,16
2428,3,2,-14,-31,-1,16
2429,21,15,-12,-21,14,16
2430,14,22,3,-18,12,16
2431,11,20,-20,-30,-5,16
2432,6,19,4,-33,-10,16
2433,3,14,-16,-23,2,16
2434,7,9,-2,-7,-3,16
2435,17,23,-4,-17,11,16
2436,6,14,-16,-26,-4,16
2437,3,13,6,-11,3,16
2438,5,9,-15,-21,3,16
2439,-10,12,-22,-20,12,16
2440,16,9,-2,-28,4,16
2441,19,12,-6,-7,6,16
2442,7,16,-11,-31,-2,16
2443,14,14,-5,-19,6,16
2444,11,20,0,-13,2,16
2445,-3,14,-21,-25,-6,16
2446,17,23,-15,-26,-10,16
2447,12,5,-12,-18,6,16
2448,13,20,-16,-25,1,16
2449,19,17,-5,-24,-3,16
2450,16,16,-13,-28,2,16
2451,-5,19,-18,-22,-15,16
2452,5,6,-9,-12,6,16
2453,5,18,-16,-32,-3,16
2454,21,24,-6,-16,-7,16
2455,16,12,-7,-19,4,16
2456,16,14,-9,-22,-2,16
2457,8,3,-10,-26,1,16
2458,-2,16,2,-20,-4,16
2459,6,8,-10,-18,5,16
2460,6,12,-16,-23,-3,16
2461,7,17,-6,-35,-3,16
2462,19,16,3,-17,-11,16
2463,4,23,-14,-31,0,16
2464,15,17,-20,-24,-4,16
2465,14,11,1,-22,0,16
2466,18,0,-9,-33,0,16
2467,22,12,-7,-22,0,16
2468,18,21,-8,-16,7,16
2469,26,8,-7,-26,3,16
2470,16,15,-20,-20,1,16
2471,-3,14,-12,-27,-11,16
2472,5,11,-4,-29,-7,16
2473,23,18,5,-16,10,16
2474,2,12,-9,-31,-8,16
2475,19,23,-12,-33,-10,16
2476,22,12,4,-24,0,16
2477,9,17,-7,-10,-4,16
2478,20,25,-8,-18,0,16
2479,11,21,-19,-16,-12,16
2480,14,15,2,-11,1,16
2481,-2,14,-3,-17,-3,16
2482,12,22,-6,-24,-8,16
2483,22,22,1,-16,3,16
2484,17,23,8,-21,0,16
2485,3,19,-8,-16,1,16
2486,20,13,-16,-22,6,16
2487,19,19,9,-15,0,16
2488,8,3,-13,-27,-2,16
2489,26,26,-22,-10,-4,16
2490,2,-3,-26,-23,5,16
2491,9,23,-4,-26,0,16
2492,14,13,-2,-24,0,16
2493,0,21,7,-16,-1,16
2494,-2,4,-19,-31,-9,16
2495,15,19,-18,-21,8,16
2496,18,24,-3,-14,-2,16
2497,17,15,-5,-15,5,16
2498,18,24,9,-10,2,16
2499,9,11,-3,-18,5,16
2500,7,2,-13,-18,-5,16
2501,4,20,-18,-29,-3,16
2502,23,22,-11,-20,9,16
2503,8,3,-10,-10,0,16
2504,8,14,-17,-26,-12,16
2505,25,21,7,-23,13,16
2506,18,21,-7,-14,2,16
2507,26,23,13,-6,15,16
2508,12,19,-8,-31,-8,16
2509,4,2,-4,-23,1,16
2510,17,17,5,-1,5,16
2511,20,24,7,-19,5,16
2512,7,11,1,-14,-4,16
2513,14,13,4,-14,0,16
2514,13,13,8,-18,4,16
2515,13,16,0,-19,5,16
2516,24,23,4,-14,8,16
2517,6,18,-9,-20,0,16
2518,12,9,-4,-15,-7,16
2519,25,6,11,-17,7,16
2520,21,13,-8,-12,-7,16
2521,12,11,-13,-25,9,16
2522,-9,20,-26,-21,-6,16
2523,12,13,-14,-32,-13,16
2524,17,11,-7,-19,-4,16
2525,13,22,-18,-10,8,16
2526,14,14,-6,-18,-4,16
2527,-4,17,-21,-20,10,16
2528,-2,7,-10,-27,8,16
2529,13,13,-14,-16,-2,16
2530,10,14,-16,-6,5,16
2531,22,19,8,-8,9,16
2532,4,11,-14,-6,8,16
2533,20,14,-12,-8,8,16
2534,6,23,-10,-25,4,16
2535,22,25,-4,-26,4,16
2536,7,22,-4,-24,5,16
2537,10,15,-14,-30,-3,16
2538,19,16,-9,-12,9,16
2539,13,19,3,-10,11,16
2540,3,14,3,-21,-4,16
2541,15,17,-2,-30,2,16
2542,26,24,7,-22,4,16
2543,9,16,0,-28,-2,16
2544,-6,16,5,-4,1,16
2545,26,21,11,-18,-7,16
2546,17,20,-14,-24,-13,16
2547,18,14,-19,-19,5,16
2548,9,15,-19,-31,-8,16
2549,13,18,-2,-16,-8,16
2550,20,10,-3,-14,-1,16
2551,25,17,-9,-17,8,17
2552,7,12,-10,-24,-3,17
2553,11,9,-5,-25,-6,17
2554,15,12,-13,-14,1,17
2555,15,21,-16,-13,0,17
2556,18,24,11,-11,-4,17
2557,18,9,-18,-21,16,17
2558,17,19,-4,-19,11,17
2559,10,11,-13,-17,-4,17
2560,24,9,4,-13,-5,17
2561,22,15,-8,-14,6,17
2562,14,13,-5,-2,-2,17
2563,15,17,-12,-17,-3,17
2564,24,15,-6,-27,-1,17
2565,16,23,1,-5,10,17
2566,19,16,3,-31,9,17
2567,10,18,-4,-12,3,17
2568,15,12,-6,-22,-1,17
2569,19,12,7,-21,2,17
2570,14,3,-3,-19,4,17
2571,16,21,-8,-19,2,17
2572,19,24,-4,-23,9,17
2573,6,9,-11,-12,0,17
2574,20,23,10,-13,5,17
2575,-7,19,-25,-26,1,17
2576,15,8,-2,-24,0,17
2577,-5,11,-16,-28,-5,17
2578,10,8,-12,-25,-1,17
2579,3,21,-13,-23,-4,17
2580,16,23,0,-21,11,17
2581,25,16,-9,-14,4,17
2582,0,22,2,-17,1,17
2583,14,19,-11,-8,-1,17
2584,9,15,-1,-29,-7,17
2585,9,20,7,-33,11,17
2586,18,23,6,-23,-10,17
2587,9,3,-3,-31,0,17
2588,14,10,-6,-7,3,17
2589,21,21,-11,-28,8,17
2590,1,12,-2,-13,-1,17
2591,7,23,-15,-21,11,17
2592,18,17,-3,-14,4,17
2593,15,16,-6,-26,-2,17
2594,-5,9,-17,-33,-7,17
2595,7,7,-13,-20,10,17
2596,17,19,-1,-32,6,17
2597,14,18,-6,-20,6,17
2598,8,17,-1,-4,8,17
2599,12,6,-3,-26,-3,17
2600,8,14,-5,-10,-10,17
2601,5,13,-8,-18,-4,17
2602,11,12,-9,-20,3,17
2603,11,16,-24,-18,-15,17
2604,11,14,-14,-21,-2,17
2605,-2,15,-9,-22,5,17
2606,9,15,2,-32,4,17
2607,18,1,7,-23,-5,17
2608,14,16,-12,-17,-4,17
2609,25,15,2,-24,0,17
2610,0,7,-12,-31,-4,17
2611,11,12,-1,-21,0,17
2612,5,20,7,-29,-15,17
2613,26,23,10,-15,5,17
2614,21,12,10,-15,6,17
2615,8,7,-18,-33,8,17
2616,-11,10,-22,-37,-3,17
2617,14,17,-18,-13,10,17
2618,19,15,1,-14,6,17
2619,25,23,-11,-24,15,17
2620,18,16,-5,-18,-2,17
2621,21,26,3,-34,16,17
2622,21,17,-2,-14,10,17
2623,21,12,0,-16,5,17
2624,12,19,-20,-16,-7,17
2625,8,8,-11,-20,2,17
2626,9,9,8,-23,1,17
2627,0,9,3,-30,-2,17
2628,16,22,2,-22,3,17
2629,19,17,6,-21,-5,17
2630,17,17,-3,-18,-4,17
2631,12,15,0,-24,0,17
2632,6,19,-6,-28,-11,17
2633,24,7,-12,-30,-5,17
2634,15,23,-21,-29,-11,17
2635,10,13,-15,-23,-2,17
2636,24,25,-18,-9,0,17
2637,7,19,-8,-17,1,17
2638,2,15,-3,-24,-7,17
2639,20,18,4,-7,9,17
2640,20,20,-9,-33,-5,17
2641,23,5,1,-13,14,17
2642,15,13,-15,-29,-3,17
2643,16,21,9,-30,12,17
2644,19,19,3,-10,12,17
2645,17,13,7,-15,17,17
2646,3,12,-11,-16,8,17
2647,21,19,9,-13,16,17
2648,8,3,-3,-31,-7,17
2649,17,14,-16,-26,2,17
2650,10,20,-15,-11,-3,17
2651,18,12,7,-28,-4,17
2652,9,5,-14,-27,0,17
2653,9,20,-13,-26,-9,17
2654,-1,16,-16,-22,0,17
2655,19,19,7,-8,7,17
2656,-9,10,-13,-16,1,17
2657,15,6,6,-18,3,17
2658,14,13,-7,-23,2,17
2659,-6,20,-18,-37,6,17
2660,24,26,13,-17,-4,17
2661,19,12,-10,-19,8,17
2662,5,13,10,-24,9,17
2663,13,11,1,-18,0,17
2664,13,22,-6,-20,0,17
2665,24,25,-9,-26,2,17
2666,9,16,-2,-28,8,17
2667,19,18,-4,-18,6,17
2668,20,16,8,-9,16,17
2669,20,13,-6,-20,7,17
2670,25,16,4,-4,14,17
2671,3,14,-17,-7,-6,17
2672,17,16,-12,-20,-3,17
2673,17,14,7,-20,5,17
2674,17,-11,4,-23,-11,17
2675,9,6,-12,-11,-2,17
2676,10,7,-8,-24,-5,17
2677,21,13,3,-22,-2,17
2678,12,21,7,-7,11,17
2679,12,14,4,-15,2,17
2680,23,18,0,-18,0,17
2681,12,21,-11,-16,-1,17
2682,20,13,-4,-18,4,17
2683,6,19,1,-20,7,17
2684,16,15,-9,-31,6,17
2685,26,12,7,-24,-4,17
2686,18,18,-3,-27,-3,17
2687,6,10,-14,-34,-8,17
2688,3,21,-12,-24,9,17
2689,22,18,-2,-6,16,17
2690,14,22,2,-22,-6,17
2691,11,8,-11,-30,-8,17
2692,2,12,-22,-25,4,17
2693,18,24,6,-5,2,17
2694,19,16,9,-15,-5,17
2695,11,21,-1,-23,5,17
2696,23,19,-13,-2,-3,17
2697,2,14,-14,-16,-5,17
2698,14,13,-6,-13,-6,17
2699,19,18,-10,-19,3,17
2700,15,19,-9,-25,-9,17
2701,11,9,-2,-21,-3,17
2702,5,18,-22,-16,2,17
2703,-9,12,-23,-22,-7,17
2704,8,14,0,-1,7,17
2705,20,11,-8,-18,-2,17
2706,21,25,0,-13,7,17
2707,13,14,-5,-13,4,17
2708,22,23,1,-26,0,17
2709,14,9,-12,-31,-3,17
2710,21,26,-3,-20,-4,17
2711,-5,15,-19,-21,-7,17
2712,2,4,-18,-27,9,17
2713,15,13,0,-15,8,17
2714,15,7,-10,-18,2,17
2715,20,19,-7,-9,2,17
2716,13,4,-8,-26,-10,17
2717,19,14,-1,-7,5,17
2718,11,9,-15,-32,1,17
2719,9,8,-7,-26,-5,17
2720,7,12,-11,-15,2,17
2721,24,20,13,-26,0,17
2722,15,12,-21,-26,4,17
2723,15,7,10,-30,-5,17
2724,20,20,7,-32,0,17
2725,4,22,-11,-8,7,17
2726,14,15,-22,-28,5,17
2727,11,10,-10,-18,-1,17
2728,5,13,-11,-18,-3,17
2729,5,21,3,-9,2,17
2730,15,20,-8,-29,0,17
2731,13,15,-15,-20,11,17
2732,25,23,4,-11,7,17
2733,22,17,8,-20,3,17
2734,17,7,-4,-19,3,17
2735,21,23,-13,-8,7,17
2736,19,22,9,-8,9,17
2737,7,20,-6,-19,3,17
2738,18,12,-8,-15,10,17
2739,25,19,5,-13,8,17
2740,14,5,-12,-19,0,17
2741,17,10,-11,-33,3,17
2742,-3,14,-17,-24,-1,17
2743,15,11,0,-25,-1,17
2744,11,21,-9,-10,16,17
2745,3,15,-19,-23,9,17
2746,7,11,-1,-20,4,17
2747,19,16,-2,-19,-3,17
2748,17,20,13,-22,-1,17
2749,6,17,-20,-27,-7,17
2750,17,15,-22,-24,-4,17
2751,5,11,9,-20,-4,17
2752,22,21,9,-3,6,17
2753,10,24,-17,-28,6,17
2754,-5,19,-10,-19,16,17
2755,1,23,5,-26,15,17
2756,9,8,-5,-11,5,17
2757,13,12,-15,-23,3,17
2758,21,20,-8,-29,14,17
2759,13,5,-4,-30,-5,17
2760,13,24,-11,-18,3,17
2761,18,15,-16,-11,3,17
2762,13,16,1,-5,0,17
2763,15,6,-1,-25,8,17
2764,19,14,4,-16,2,17
2765,3,8,-9,-25,3,17
2766,19,24,-14,-15,3,17
2767,15,21,-19,1,1,17
2768,2,15,-3,-21,0,17
2769,15,13,0,-16,6,17
2770,19,14,-13,-9,2,17
2771,12,19,0,-25,1,17
2772,2,8,-12,-7,4,17
2773,-2,13,-23,-29,3,17
2774,13,17,1,-17,-2,17
2775,20,19,-15,-20,10,17
2776,17,21,6,-21,12,17
2777,16,7,4,-10,9,17
2778,9,12,-9,-26,4,17
2779,23,18,-8,-15,-3,17
2780,15,18,4,-17,10,17
2781,2,4,0,-13,-7,17
2782,14,5,-7,-16,5,17
2783,20,19,-3,-9,-3,17
2784,11,17,-12,-18,-5,17
2785,17,14,-2,-4,5,17
2786,17,17,3,-20,4,17
2787,21,10,-8,-23,6,17
2788,19,24,6,-17,4,17
2789,10,3,-7,-15,1,17
2790,14,15,-15,-29,12,17
2791,11,8,-14,-14,6,17
2792,7,17,-2,-25,-14,17
2793,12,22,-2,-26,-2,17
2794,10,3,-3,-18,-3,17
2795,6,13,-5,-15,8,17
2796,11,19,-9,-23,-4,17
2797,21,26,9,2,6,17
2798,10,15,1,-31,-5,17
2799,8,13,-8,-23,-2,17
2800,20,13,-13,-14,-1,17
2801,22,22,10,-4,12,17
2802,19,13,2,-6,-4,17
2803,21,13,3,-10,-6,17
2804,11,11,-1,-18,6,17
2805,9,13,-9,-34,-4,17
2806,14,19,-7,-17,-1,17
2807,4,21,-6,-17,6,17
2808,8,7,4,-29,6,17
2809,9,10,1,-16,6,17
2810,19,21,9,-21,10,17
2811,7,12,-3,-27,-4,17
2812,13,16,-4,-11,6,17
2813,20,17,-12,-13,-2,17
2814,7,10,-20,-26,-9,17
2815,13,19,-8,-32,-1,17
2816,7,21,-3,-29,8,17
2817,4,2,-14,-33,-12,17
2818,22,12,5,-12,-1,17
2819,23,17,4,0,8,17
2820,12,4,-4,-30,2,17
2821,-3,2,-14,-13,2,17
2822,9,18,7,-9,2,17
2823,6,3,-10,-22,-3,17
2824,17,6,-10,-9,-11,17
2825,21,24,4,-16,10,17
2826,13,14,-6,-26,-4,17
2827,17,15,-5,-28,-9,17
2828,20,16,10,-25,3,17
2829,14,12,-10,-19,-7,17
2830,19,17,5,-19,-5,17
2831,23,7,4,-17,-5,17
2832,6,20,-10,-4,1,17
2833,17,6,8,-27,11,17
2834,15,4,-11,-28,9,17
2835,13,15,-7,-21,0,17
2836,11,17,-11,-10,1,17
2837,21,0,-10,-22,-9,17
2838,18,22,-9,-18,6,17
2839,20,22,2,-23,-8,17
2840,8,7,-2,-16,4,17
2841,16,16,-9,-24,-1,17
2842,16,19,12,-12,-9,17
2843,23,18,-15,-30,6,17
2844,14,12,-10,0,9,17
2845,25,20,4,1,12,17
2846,11,10,0,-16,-3,17
2847,19,16,3,-13,7,17
2848,-3,19,-11,-19,11,17
2849,12,14,0,-7,4,17
2850,-3,17,0,-28,1,17
2851,13,12,-2,-9,1,17
2852,20,18,6,-26,-5,17
2853,19,9,-2,-14,-7,17
2854,12,13,-5,-35,5,17
2855,20,22,3,-7,6,17
2856,14,12,-8,-21,-2,17
2857,17,18,-5,-14,15,17
2858,15,12,-12,-27,-4,17
2859,10,13,-4,-19,2,17
2860,18,8,2,0,-5,17
2861,9,5,6,-22,-7,17
2862,12,15,-20,-31,-4,17
2863,6,18,-16,-19,0,17
2864,13,11,-3,-10,7,17
2865,15,13,-1,-31,-5,17
2866,21,19,-1,-12,9,17
2867,10,10,-14,-19,2,17
2868,20,21,3,-18,10,17
2869,20,23,1,-10,11,17
2870,19,21,-6,-19,14,17
2871,-2,6,2,-6,8,17
2872,16,11,0,-14,-1,17
2873,7,8,-14,-24,2,17
2874,13,18,1,-28,2,17
2875,19,17,-11,-24,4,17
2876,13,4,-8,-26,-10,17
2877,11,10,-3,-19,8,17
2878,8,6,-5,-16,0,17
2879,24,16,-1,-20,-3,17
2880,15,18,-13,-20,6,17
2881,20,19,-14,-11,14,17
2882,9,12,-8,-20,3,17
2883,8,13,-5,-27,-4,17
2884,20,22,3,-13,9,17
2885,22,15,0,-11,9,17
2886,17,19,12,-18,-1,17
2887,7,17,-8,-18,-1,17
2888,13,20,-13,-27,-8,17
2889,20,14,-17,-9,3,17
2890,13,19,-15,-17,12,17
2891,21,13,3,-21,6,17
2892,15,20,-1,-12,-3,17
2893,26,7,-8,-15,10,17
2894,11,15,-7,-10,3,17
2895,14,6,-2,-16,2,17
2896,15,21,12,-11,10,17
2897,5,16,-14,-21,5,17
2898,9,18,-16,-30,-12,17
2899,10,15,-9,-16,9,17
2900,5,11,-11,-17,6,17
2901,13,7,-2,-12,4,17
2902,22,14,-1,-31,3,17
2903,22,23,-8,-10,9,17
2904,13,4,-4,-29,-3,17
2905,5,11,7,-11,5,17
2906,17,22,-2,-11,3,17
2907,4,11,-22,-29,0,17
2908,14,5,2,-16,13,17
2909,20,20,11,-17,5,17
2910,12,14,-15,-21,6,17
2911,18,26,14,-17,-7,17
2912,20,20,-3,-10,3,17
2913,17,17,-2,-15,5,17
2914,20,13,-7,-15,13,17
2915,18,21,-3,-17,0,17
2916,14,13,-9,-22,-5,17
2917,23,10,-5,-22,11,17
2918,0,10,-22,-23,-5,17
2919,14,24,-14,-23,3,17
2920,16,19,-10,-14,7,17
2921,11,9,-10,-23,7,17
2922,20,16,2,-16,2,17
2923,13,8,2,-12,1,17
2924,11,10,-10,-16,-6,17
2925,25,13,7,-21,4,17
2926,1,0,-5,-23,0,17
2927,11,3,-7,-20,6,17
2928,16,12,6,-11,8,17
2929,18,24,6,-15,-8,17
2930,12,13,-3,-24,2,17
2931,13,14,-15,-29,7,17
2932,9,7,11,-11,8,17
2933,25,19,-21,-11,9,17
2934,10,15,-12,-30,-2,17
2935,-4,3,-22,-20,-5,17
2936,20,7,-12,-24,2,17
2937,11,6,7,-26,4,17
2938,12,10,3,-22,2,17
2939,10,10,-7,-12,1,17
2940,20,16,-15,-13,-3,17
2941,19,7,-7,-17,-4,17
2942,16,15,-6,-18,1,17
2943,19,17,7,-29,-4,17
2944,14,20,-15,-19,18,17
2945,25,18,4,-25,14,17
2946,15,12,-14,-16,-4,17
2947,7,15,-9,-31,6,17
2948,23,18,1,-9,6,17
2949,21,23,-12,-19,0,17
2950,7,9,-6,-24,1,17
2951,16,17,-13,-15,3,17
2952,7,11,-10,-29,-5,17
2953,8,11,-3,-16,7,17
2954,21,14,-2,-21,4,17
2955,10,5,-14,-14,8,17
2956,10,12,2,-11,2,17
2957,19,21,-6,-17,-3,17
2958,11,4,-1,-35,-8,17
2959,17,7,-22,-16,8,17
2960,17,14,-12,-9,-2,17
2961,17,22,-8,-9,-1,17
2962,22,5,14,-7,-3,17
2963,19,14,11,-15,-3,17
2964,21,21,-14,-24,-3,17
2965,12,8,-14,-21,5,17
2966,1,12,-1,-19,5,17
2967,25,21,6,-24,-6,17
2968,23,25,-4,-25,-6,17
2969,-4,15,-16,-17,-9,17
2970,3,4,-13,-27,-7,17
2971,19,16,-7,-18,-5,17
2972,9,1,-14,-21,-4,17
2973,20,14,-18,-14,-3,17
2974,12,20,-4,-11,6,17
2975,17,18,-5,-23,3,17
2976,9,15,-14,-21,1,17
2977,26,17,-9,-7,14,17
2978,17,25,-3,-3,-7,17
2979,9,-2,-16,-26,-4,17
2980,17,20,-13,-20,1,17
2981,9,2,-2,-19,3,17
2982,6,10,-9,-26,8,17
2983,22,-2,-22,-30,-4,17
2984,8,7,-5,-19,-1,17
2985,13,20,-1,-14,8,17
2986,19,14,-15,-18,-2,17
2987,2,14,-21,-25,0,17
2988,19,17,-17,-26,1,17
2989,8,9,-9,-11,1,17
2990,23,19,-13,-16,5,17
2991,24,22,-9,-14,0,17
2992,18,16,9,-11,8,17
2993,8,10,-7,-20,-1,17
2994,2,13,-18,-27,-4,17
2995,20,26,-8,-33,-2,17
2996,22,16,-15,-30,5,17
2997,10,6,-20,-8,-1,17
2998,4,7,-1,-22,3,17
2999,17,23,10,-15,17,17
3000,2,8,-18,-30,-4,17
3001,14,16,-4,-14,9,17
3002,18,14,0,-20,15,17
3003,18,19,1,-22,8,17
3004,21,6,-8,-9,-4,17
3005,17,13,-5,-9,10,17
3006,10,19,-6,-24,0,17
3007,12,20,-18,-27,-1,17
3008,9,10,5,-19,0,17
3009,21,12,11,-17,12,17
3010,20,20,8,-13,11,17
3011,13,14,-2,-19,11,17
3012,11,17,-7,-26,7,17
3013,5,15,0,-16,3,17
3014,6,7,6,-10,10,17
3015,12,13,-14,-27,7,17
3016,9,10,5,-13,1,17
3017,18,19,10,-11,-3,17
3018,20,13,1,-9,4,17
3019,17,21,-16,-26,-7,17
3020,8,15,-6,-33,8,17
3021,11,22,-1,-23,2,17
3022,11,25,13,-5,-5,17
3023,18,13,7,-11,4,17
3024,23,11,8,-13,5,17
3025,17,10,-10,-10,-1,17
3026,0,2,-13,-24,-1,17
3027,19,5,-14,-28,4,17
3028,23,25,7,-9,7,17
3029,16,6,-6,-24,-3,17
3030,15,17,2,-26,4,17
3031,19,17,8,-7,-2,17
3032,14,17,10,-9,1,17
3033,22,23,6,-23,10,17
3034,19,15,-12,-14,16,17
3035,13,10,-4,-19,1,17
3036,18,10,-9,-20,0,17
3037,11,8,-22,-21,-3,17
3038,20,5,-11,-26,17,17
3039,18,15,-2,-12,7,17
3040,19,12,6,-16,6,17
3041,5,15,-4,-25,-17,17
3042,17,14,-2,-18,2,17
3043,15,16,-24,-22,-12,17
3044,15,21,2,-19,-4,17
3045,14,12,-2,-20,2,17
3046,20,18,-8,-4,2,17
3047,18,24,7,-5,10,17
3048,15,9,-6,-22,-2,17
3049,22,15,-16,-32,4,17
3050,19,24,4,-22,4,17
3051,15,20,-10,-5,-3,17
3052,7,13,-9,-36,-5,17
3053,12,8,-10,-19,4,17
3054,9,19,-16,-19,-4,17
3055,23,13,-9,-19,-1,17
3056,21,21,6,-29,5,17
3057,12,-3,-9,-22,9,17
3058,3,8,-11,-18,-9,17
3059,13,11,-20,-27,4,17
3060,9,17,-4,-10,0,17
3061,7,0,-4,-22,6,17
3062,6,13,6,-17,1,17
3063,7,4,-20,-17,6,17
3064,23,16,0,-9,-3,17
3065,5,14,-22,-29,5,17
3066,22,14,2,-18,7,17
3067,7,11,1,-36,6,17
3068,19,19,-7,-24,-4,17
3069,11,13,0,-15,2,17
3070,23,7,2,-11,1,17
3071,12,9,-3,-19,-2,17
3072,3,14,-19,-6,9,17
3073,16,-5,-17,-32,-5,17
3074,6,19,-12,-13,2,17
3075,9,17,-20,-24,16,17
3076,9,8,-13,-29,12,17
3077,22,22,-10,-23,2,17
3078,17,18,2,-7,-9,17
3079,17,20,-4,-20,0,17
3080,20,19,4,-20,10,17
3081,10,1,-6,-20,-1,17
3082,22,9,-3,-16,-4,17
3083,4,10,1,-17,-5,17
3084,12,16,-17,-14,13,17
3085,15,16,-5,-11,9,17
3086,9,11,-7,-30,-1,17
3087,4,11,-13,-29,-5,17
3088,5,21,-23,-18,3,17
3089,21,18,2,-14,-1,17
3090,15,16,-15,-29,0,17
3091,24,16,-6,-17,0,17
3092,11,17,-3,-16,-1,17
3093,11,8,2,-18,-6,17
3094,-10,12,-17,-20,-6,17
3095,25,23,4,-9,13,17
3096,22,25,14,-18,6,17
3097,22,11,9,-12,10,17
3098,9,9,-1,-8,12,17
3099,7,8,2,-10,3,17
3100,16,16,6,-18,16,17
3101,-13,11,-5,-12,0,17
3102,15,10,-15,-17,3,17
3103,2,-3,-14,-21,-5,17
3104,4,13,-5,-26,-10,17
3105,13,2,-2,-15,13,17
3106,-11,16,-24,-14,-2,17
3107,22,26,-6,-12,19,17
3108,11,20,-14,-22,10,17
3109,26,21,-12,-23,3,17
3110,26,23,2,-27,0,17
3111,2,8,-7,-35,6,17
3112,18,18,-1,-17,7,17
3113,16,12,-12,-31,-3,17
3114,15,15,1,-24,-12,17
3115,3,18,-10,-24,-4,17
3116,20,23,8,-11,5,17
3117,6,22,-25,-26,4,17
3118,16,18,-10,-23,-4,17
3119,9,17,-10,-28,-5,17
3120,23,9,8,-27,-1,17
3121,23,18,5,-9,11,17
3122,6,1,0,-33,2,17
3123,14,20,9,-21,1,17
3124,21,16,-12,-18,6,17
3125,16,16,-3,-24,-1,17
3126,9,19,-4,-22,2,17
3127,18,19,-13,-34,0,17
3128,11,14,-5,-11,8,17
3129,10,6,-10,-28,-8,17
3130,22,14,-17,-23,6,17
3131,21,16,1,-16,3,17
3132,7,20,6,-13,6,17
3133,3,19,-11,-32,-10,17
3134,12,22,12,-7,0,17
3135,15,25,4,-12,10,17
3136,21,20,3,-25,-5,17
3137,15,18,-10,-7,-2,17
3138,-3,18,-1,-23,16,17
3139,8,14,-9,-23,8,17
3140,15,14,-2,-15,10,17
3141,13,9,3,-17,0,17
3142,7,21,-7,-25,7,17
3143,9,14,2,-20,3,17
3144,8,7,-5,-26,1,17
3145,22,20,7,-27,10,17
3146,18,10,3,-7,2,17
3147,13,15,-17,-27,-1,17
3148,6,15,-3,-34,3,17
3149,13,20,7,-26,2,17
3150,24,19,-11,-15,1,17
3151,8,14,-1,-24,6,17
3152,20,16,-1,-26,11,17
3153,8,21,-9,-28,1,17
3154,4,13,-21,-17,-8,17
3155,26,16,-9,-17,11,17
3156,13,16,-5,-12,10,17
3157,15,12,-3,-22,0,17
3158,16,18,-5,-23,-6,17
3159,8,14,1,-16,-4,17
3160,17,25,5,-16,13,17
3161,25,21,-19,-28,-7,17
3162,11,8,-10,-29,-11,17
3163,10,9,-11,-30,-8,17
3164,15,18,6,-7,-5,17
3165,8,12,-10,-25,0,17
3166,25,18,6,-31,8,17
3167,5,7,-17,-27,0,17
3168,16,15,-8,-6,11,17
3169,15,20,10,-13,1,17
3170,22,2,-3,-18,-1,17
3171,20,14,2,-14,-5,17
3172,14,15,-13,-20,5,17
3173,-3,18,-9,-14,-2,17
3174,21,26,-8,-10,8,17
3175,22,21,14,-5,9,17
3176,18,8,-8,-26,5,17
3177,-2,21,-23,-28,6,17
3178,25,20,5,0,7,17
3179,19,12,-6,-22,-2,17
3180,9,22,-4,-21,-3,17
3181,23,15,0,-2,10,17
3182,23,16,5,-24,10,17
3183,3,3,-11,-19,-1,17
3184,24,24,3,-17,2,17
3185,16,17,8,-24,11,17
3186,18,15,3,-22,9,17
3187,14,24,-10,-20,5,17
3188,2,8,6,-21,12,17
3189,13,16,-5,-15,1,17
3190,12,15,-4,-19,-1,17
3191,12,7,-5,-17,-1,17
3192,21,9,10,-14,6,17
3193,15,21,-12,-17,16,17
3194,4,8,-8,-32,-4,17
3195,12,12,-4,-25,-3,17
3196,12,21,-12,-18,-1,17
3197,25,7,6,-12,7,17
3198,14,13,2,-11,5,17
3199,24,24,2,2,5,17
3200,18,15,5,-32,1,17
3201,0,17,-4,-22,-1,17
3202,4,11,-10,-27,-2,17
3203,22,26,-5,-20,8,17
3204,5,17,-10,-20,-1,17
