,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
4299,1,3,1,1,3,1,3,1,2,4,3,2,3,3,2,2,5,5,5,1,4,4,1,1,2,1,4,1,3,4,4,5,5,5,5,3,5,4,5,3,4,5,5,5,4,3,5,5,4,3,3,22,32,25,44,42
4300,2,4,5,3,3,5,5,4,2,3,1,1,1,1,1,1,2,1,2,1,2,4,4,2,5,5,4,4,4,4,5,4,2,5,2,4,2,4,3,5,5,4,4,5,5,3,5,4,4,5,4,35,13,41,36,43
4301,2,3,3,4,5,4,4,2,2,5,3,2,3,3,4,2,3,4,4,2,5,4,4,5,5,5,5,5,4,5,4,5,2,4,5,5,5,5,4,4,5,5,5,3,5,4,5,5,5,5,4,35,32,46,44,46
4302,2,2,1,2,2,4,4,2,2,1,2,4,1,2,3,2,2,2,3,2,3,2,3,5,5,5,5,4,4,4,3,2,4,4,3,2,1,4,4,3,2,1,4,3,4,3,3,4,2,3,3,22,24,40,29,30
4303,2,3,1,4,2,3,2,3,1,1,1,4,3,1,1,5,3,3,3,2,2,5,4,5,5,3,4,2,2,4,5,4,4,5,5,1,4,5,1,3,4,5,2,4,2,4,4,5,5,4,3,21,27,39,36,38
4304,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,2,4,2,2,4,2,4,1,5,4,2,2,4,4,2,4,4,5,5,5,4,4,4,4,5,5,20,20,30,32,45
4305,1,4,5,5,4,5,5,4,4,5,5,2,3,2,2,3,3,4,3,3,4,4,5,4,4,4,5,4,3,3,4,3,2,4,3,1,3,3,4,2,4,4,4,4,5,4,4,4,3,3,5,46,29,40,29,40
4306,2,4,5,4,1,4,2,1,4,5,1,4,3,2,2,2,5,2,2,3,4,2,4,5,5,5,5,1,5,5,5,3,3,4,2,3,5,5,5,3,4,1,4,4,5,5,5,4,1,4,4,31,29,42,37,37
4307,1,2,2,2,4,4,3,2,4,4,3,4,4,1,2,2,4,2,4,2,2,3,3,4,4,4,4,4,4,4,4,3,4,4,3,2,2,5,4,4,4,4,5,5,4,5,5,4,4,5,5,30,27,38,35,46
4308,2,4,5,4,4,4,4,4,2,3,1,4,3,5,2,3,2,3,3,3,3,5,5,5,3,5,4,5,5,4,5,1,2,4,2,3,3,4,3,1,4,4,4,4,5,3,5,4,2,4,4,35,31,46,27,39
4309,2,2,5,5,1,5,4,5,2,2,4,1,1,1,2,1,1,1,1,2,1,5,5,4,5,4,5,5,4,5,4,5,3,4,4,2,5,5,3,2,4,5,4,5,4,4,5,5,4,5,5,35,12,46,37,46
4310,1,1,2,2,1,2,4,1,1,3,1,4,3,2,2,4,4,3,5,5,3,3,2,3,3,5,1,3,4,2,3,4,5,4,5,2,5,5,5,4,3,2,2,4,2,4,5,3,2,4,4,18,35,29,42,32
4311,1,3,2,3,3,2,3,1,2,3,2,4,4,4,5,2,4,4,5,4,5,4,3,5,4,4,2,3,3,3,4,3,4,4,4,2,2,4,4,2,4,4,5,5,5,4,4,4,3,3,4,24,41,35,33,41
4312,2,1,3,4,3,4,4,2,2,2,4,2,3,2,2,5,4,4,5,4,5,5,3,5,4,4,5,4,5,5,5,4,3,5,5,3,3,3,4,4,3,4,4,4,4,3,5,3,1,3,5,29,36,45,37,36
4313,1,4,4,4,4,5,4,4,4,4,3,4,5,4,5,5,5,5,5,5,5,4,3,4,4,4,5,5,4,4,4,3,5,4,4,4,5,2,5,4,4,4,5,5,5,5,5,5,4,5,5,40,48,41,40,48
4314,2,4,4,4,4,4,2,4,5,2,1,2,3,2,4,3,3,3,5,4,2,3,4,4,4,5,4,5,4,5,5,4,4,5,2,4,5,5,5,3,4,3,5,4,5,2,4,5,2,4,4,34,31,43,41,38
4315,1,2,1,3,2,3,1,4,3,2,1,4,1,5,3,4,4,5,3,4,3,1,3,5,5,5,5,4,4,5,5,3,5,3,5,3,5,5,2,3,3,3,3,3,4,3,2,2,2,5,3,22,36,42,37,30
4316,2,3,5,4,2,4,5,1,2,3,2,3,4,1,3,2,3,2,4,2,4,2,5,4,4,3,2,4,4,3,4,3,4,5,5,4,1,5,5,5,5,4,4,5,3,5,5,4,2,4,5,31,28,35,42,41
4317,2,2,4,5,3,4,4,3,3,4,2,2,2,2,2,2,1,2,2,2,2,3,5,4,3,3,3,4,4,3,4,4,5,3,4,4,5,4,2,4,4,2,4,2,3,3,3,4,4,5,3,34,19,36,39,33
4318,2,1,5,1,1,1,1,1,1,1,1,1,5,2,5,1,5,5,5,1,1,1,5,3,1,5,5,1,3,3,5,3,5,3,2,1,1,3,3,1,3,5,1,5,1,5,5,3,5,4,5,14,31,32,25,39
4319,2,4,5,5,5,5,5,5,4,5,4,3,4,3,3,3,3,3,5,4,4,5,4,5,4,4,5,4,3,4,4,4,5,4,4,3,4,5,4,4,3,4,3,3,3,3,4,4,4,4,3,47,35,42,40,35
4320,1,4,4,4,4,4,4,4,3,4,3,5,5,4,5,4,5,5,5,5,5,3,4,2,3,3,2,4,5,4,5,3,1,4,3,2,3,3,3,2,3,5,5,5,5,5,5,5,4,3,4,38,48,35,27,46
4321,2,1,2,2,2,3,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,3,1,2,1,1,2,1,3,1,1,4,2,1,1,5,2,2,3,4,5,5,5,4,5,4,4,4,5,16,14,16,22,45
4322,2,2,3,3,3,4,4,3,3,4,2,1,3,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,4,5,3,2,2,5,3,4,3,4,3,4,4,5,5,5,5,4,5,4,4,4,4,31,18,47,34,45
4323,1,4,5,4,3,3,5,3,2,3,3,5,5,5,3,5,5,3,4,5,4,5,5,3,3,5,2,5,5,2,4,3,3,3,3,3,2,3,3,1,3,5,4,5,5,4,5,5,4,5,5,35,44,39,27,47
4324,2,5,5,5,4,5,4,3,4,4,1,1,2,1,2,1,1,2,2,1,2,5,5,4,5,5,5,4,4,5,5,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5,5,5,4,4,4,40,15,47,43,45
4325,2,1,4,5,5,5,5,4,4,4,4,5,4,3,1,5,5,5,5,5,5,2,5,5,4,4,3,5,3,1,4,4,4,5,5,2,5,4,5,4,3,5,5,4,4,4,5,4,3,2,4,41,43,36,41,40
4326,2,5,5,5,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,5,5,5,1,5,1,5,5,5,1,5,5,38,50,46,40,38
4327,1,2,2,3,2,2,2,2,1,2,2,3,3,2,3,3,2,4,4,2,2,4,4,5,4,4,5,3,4,4,4,3,3,3,3,1,2,3,3,3,3,3,4,4,3,3,3,4,2,4,3,20,28,41,27,33
4328,2,3,5,5,4,5,5,4,1,1,5,5,5,2,5,5,5,5,5,5,5,1,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,3,5,4,38,47,37,50,44
4329,1,3,4,5,4,4,4,4,3,2,4,4,4,3,2,3,4,4,4,4,4,3,5,4,2,4,3,4,4,3,4,5,3,5,4,5,4,4,4,4,4,3,3,4,3,5,4,5,2,3,5,37,36,36,42,37
4330,2,1,1,3,1,1,4,1,1,1,1,5,4,1,2,1,4,2,2,2,5,5,4,2,5,5,5,5,5,5,2,2,4,5,2,2,2,4,4,2,5,2,5,4,5,4,4,5,1,4,4,15,28,43,32,38
4331,2,2,2,3,2,1,3,2,1,1,1,2,4,2,5,5,4,4,4,3,5,4,4,4,3,4,2,3,5,4,5,5,3,3,5,5,3,4,5,4,3,4,5,5,5,5,5,4,3,5,5,18,38,38,40,46
4332,2,3,4,4,3,4,4,3,2,2,4,4,4,4,2,2,5,5,5,4,5,3,4,4,4,4,3,4,5,4,5,3,3,3,3,2,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,33,40,40,29,32
4333,2,3,2,3,5,4,2,1,4,5,1,2,4,2,3,2,2,1,2,1,3,5,4,3,5,5,5,2,4,5,5,3,5,5,4,3,4,2,5,1,5,5,5,5,5,5,5,5,4,5,4,30,22,43,37,48
4334,2,5,5,3,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,1,3,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,48,16,14,46,48
4335,1,3,3,2,2,2,4,5,1,1,1,2,3,1,1,4,2,2,2,2,2,4,4,5,4,5,5,5,4,3,3,3,1,4,3,3,1,4,4,2,3,4,3,5,3,3,4,3,4,4,4,24,21,42,28,37
4336,2,2,2,2,2,2,3,1,2,2,1,4,3,2,3,3,3,4,4,2,4,4,2,4,4,3,4,3,4,4,3,3,5,4,4,2,4,3,4,2,4,4,4,4,4,3,4,4,2,4,3,19,32,35,35,36
4337,1,4,2,2,2,1,4,1,2,4,1,4,4,2,2,5,5,4,5,5,4,4,5,3,3,3,4,4,1,3,2,3,4,4,4,1,3,4,3,2,4,4,4,4,4,3,3,4,3,4,4,23,40,32,32,37
4338,2,5,3,5,1,3,3,5,1,5,4,1,4,1,5,1,3,1,4,5,1,3,5,1,5,4,5,5,5,5,5,1,5,5,3,5,2,5,3,1,4,4,5,5,3,5,5,4,2,5,5,35,26,43,34,43
4339,1,3,3,5,2,4,4,4,3,5,4,4,4,3,4,4,2,4,3,4,4,5,5,5,4,5,3,5,4,4,5,4,4,4,5,3,4,4,5,3,4,5,3,4,4,4,4,4,3,4,5,37,36,45,40,40
4340,2,3,3,4,4,4,3,4,3,3,2,3,4,3,4,4,4,5,5,4,4,5,4,5,5,5,4,5,4,5,4,4,3,4,5,2,5,3,5,3,4,4,5,4,5,4,5,5,3,5,4,33,40,46,38,44
4341,2,2,4,4,3,4,4,3,2,2,3,2,3,3,3,3,4,3,3,4,3,2,4,5,4,2,4,3,4,4,3,2,4,4,2,3,2,2,3,2,3,3,4,4,4,3,3,3,3,3,3,31,31,35,27,33
4342,2,1,2,4,4,4,4,1,1,3,4,4,5,2,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,5,3,2,5,4,5,5,5,4,3,4,5,28,43,49,44,42
4343,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,5,3,3,5,3,5,4,2,5,2,1,1,1,1,1,1,3,2,1,2,1,1,3,3,3,4,2,2,2,4,11,13,37,14,25
4344,1,1,2,3,2,3,3,2,1,4,2,2,2,2,3,5,2,4,2,1,3,2,2,1,2,2,2,1,1,3,3,3,2,4,3,2,3,3,2,3,4,5,3,4,3,4,5,4,4,4,5,23,26,19,29,41
4345,1,4,3,5,2,4,4,4,4,5,4,4,5,2,3,4,5,2,2,2,3,2,5,4,4,3,5,4,4,4,4,3,2,4,2,3,1,2,3,2,3,3,3,5,2,4,5,5,3,3,4,39,32,39,25,37
4346,1,2,4,4,2,4,4,3,2,4,2,5,3,2,2,5,4,3,2,5,2,4,5,4,4,4,2,5,3,4,3,4,4,4,3,1,5,4,3,2,3,4,3,5,3,4,5,4,4,5,3,31,33,38,33,40
4347,1,3,4,4,3,2,5,2,2,3,2,4,4,5,3,5,5,3,5,4,5,5,3,5,4,5,3,3,3,4,3,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,30,43,38,47,49
4348,1,2,2,4,2,3,4,3,2,2,2,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,4,4,2,3,4,26,42,37,37,34
4349,1,1,3,4,3,4,3,5,1,1,1,3,4,4,1,4,5,5,5,4,3,5,3,4,1,4,5,2,4,1,5,5,5,5,5,3,4,5,4,5,3,3,3,2,1,3,1,3,3,5,4,26,38,34,44,28
4350,2,1,2,4,4,4,4,4,3,2,2,3,4,3,4,4,3,4,4,3,4,5,4,5,4,5,5,5,4,4,4,5,3,5,5,4,5,4,5,3,4,4,4,5,3,4,5,4,2,4,4,30,36,45,43,39
4351,1,1,2,2,2,2,2,2,2,3,1,3,4,2,2,5,4,3,4,2,3,4,4,3,3,2,2,4,3,4,3,4,2,4,3,2,3,3,2,5,4,5,5,4,5,5,4,5,4,5,4,19,32,32,32,46
4352,1,2,2,2,2,1,5,1,1,2,1,3,3,4,2,5,2,1,1,3,2,1,3,2,2,2,3,2,2,1,3,3,5,2,2,3,3,2,2,2,3,4,1,4,4,5,4,5,4,4,4,19,26,21,27,39
4353,2,1,1,1,1,2,2,4,2,1,1,1,3,1,2,2,2,2,1,2,2,5,2,5,5,5,5,5,4,4,3,2,1,4,2,2,2,2,2,3,2,3,4,3,5,2,4,4,3,2,2,16,18,43,22,32
4354,2,3,5,4,3,4,5,5,2,3,5,2,3,2,1,4,4,5,5,4,4,3,4,5,3,5,4,5,4,4,4,3,5,4,5,3,4,3,4,3,3,2,3,3,4,3,3,4,1,3,4,39,34,41,37,30
4355,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,2,2,2,2,2,5,2,5,3,4,4,4,3,3,2,2,2,2,2,2,2,3,3,3,2,3,4,4,4,3,4,4,3,4,2,13,20,35,23,35
4356,2,2,2,2,2,2,2,2,1,2,1,4,4,2,4,2,4,4,4,4,4,1,4,5,5,4,4,4,4,5,4,4,2,4,4,2,2,4,4,2,2,2,2,5,2,4,4,4,2,4,5,18,36,40,30,34
4357,2,1,4,2,1,3,3,1,1,1,1,4,2,2,2,2,4,4,5,3,4,5,4,5,4,3,4,4,4,5,4,3,1,5,3,1,1,3,5,1,4,5,3,5,3,5,5,5,3,5,5,18,32,42,27,44
4358,2,1,3,2,2,5,5,1,2,2,2,3,3,1,1,3,3,2,3,3,1,5,5,5,5,5,5,5,5,5,3,3,3,5,5,3,3,5,5,3,4,4,3,5,5,3,5,4,2,5,5,25,23,48,39,41
4359,1,2,2,3,2,5,2,2,1,1,1,2,4,1,3,4,3,1,5,4,4,1,3,1,4,5,5,5,3,5,3,2,1,4,3,2,2,5,2,2,2,5,3,5,1,4,5,5,3,5,4,21,31,35,25,40
4360,1,1,2,1,3,1,1,1,1,1,5,5,1,1,5,5,5,1,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,4,5,5,5,5,5,5,4,5,5,17,35,10,34,48
4361,1,2,2,3,2,3,4,1,4,3,2,3,3,2,2,5,4,3,3,2,2,3,4,3,4,4,1,4,4,2,2,3,4,5,4,2,5,3,2,2,4,4,5,2,5,4,3,5,4,5,3,26,29,31,34,40
4362,1,1,4,3,1,2,5,1,2,3,4,5,4,4,1,5,5,1,1,5,1,1,2,2,1,5,3,2,5,1,4,3,1,4,2,2,1,2,3,1,5,5,5,5,5,4,5,5,4,3,5,26,32,26,24,46
4363,2,4,5,5,5,5,5,5,2,5,4,1,3,1,2,2,3,3,4,3,4,5,5,5,4,5,5,4,4,5,3,3,3,2,1,5,2,5,3,4,4,5,3,2,5,3,4,5,5,5,4,45,26,45,32,41
4364,1,3,4,3,2,3,4,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,2,3,4,3,5,3,3,3,4,3,3,4,5,5,4,4,4,5,4,4,3,4,30,28,26,35,42
4365,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,5,2,5,3,5,5,4,4,2,2,1,2,3,2,2,2,4,3,3,3,3,4,4,4,2,4,3,3,2,3,11,19,37,25,32
4366,2,4,4,5,5,5,5,4,5,5,5,4,4,3,3,3,2,5,5,3,5,5,5,5,5,5,5,4,3,5,5,3,1,2,2,1,5,3,3,1,3,4,1,3,1,5,4,5,2,3,5,47,37,47,24,33
4367,1,3,2,3,2,4,4,3,4,5,3,1,3,1,3,1,2,2,2,1,2,4,4,3,4,4,4,5,2,4,3,4,2,5,3,4,4,4,4,4,3,4,3,4,2,4,3,3,3,4,3,33,18,37,37,33
4368,2,3,4,5,4,5,5,5,2,3,2,2,3,2,4,4,4,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3,4,4,4,5,4,5,3,5,5,38,37,49,47,42
4369,1,2,5,4,1,5,5,2,1,2,1,1,3,1,1,1,1,1,1,1,1,3,5,1,2,4,2,4,4,2,3,4,1,3,3,2,3,5,1,4,4,3,4,4,5,4,4,3,4,5,5,28,12,30,30,41
4370,1,4,5,5,3,5,5,5,2,5,4,4,2,4,4,2,2,1,2,4,2,3,4,5,5,4,5,5,4,4,3,3,3,2,3,3,5,3,4,4,3,5,4,3,5,3,4,4,3,5,3,43,27,42,33,39
4371,2,2,3,3,2,2,3,2,2,2,1,2,3,3,3,3,2,3,4,2,4,4,4,4,4,3,3,3,3,3,2,3,2,2,2,2,2,4,2,2,3,4,3,4,3,4,4,3,2,4,4,22,29,33,24,35
4372,2,1,4,5,5,4,5,2,2,4,4,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,4,5,5,5,2,4,5,36,46,50,50,40
4373,2,2,4,4,1,2,3,2,4,2,4,3,2,1,3,3,3,3,4,3,1,4,4,5,5,5,4,5,4,5,4,2,3,5,4,4,4,3,4,2,2,4,2,2,5,2,3,4,3,5,2,28,26,45,33,32
4374,1,2,4,1,2,2,4,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,4,2,2,1,2,4,2,3,2,4,4,2,2,4,2,4,3,5,5,5,4,4,5,5,4,5,5,21,17,23,30,47
4375,2,3,5,5,3,5,2,5,3,3,3,3,3,3,1,4,3,4,5,4,5,5,5,5,5,5,5,5,2,5,1,5,3,5,4,3,3,5,5,5,4,5,5,4,5,5,1,5,4,4,5,37,35,43,42,43
4376,2,4,3,2,4,2,1,5,1,4,4,1,2,1,1,2,2,2,1,2,1,2,4,2,3,3,2,1,2,3,5,4,2,5,2,2,2,4,3,4,5,5,4,5,5,4,5,4,4,4,5,30,15,27,33,45
4377,2,3,4,4,4,4,5,4,4,4,1,2,3,1,5,5,4,3,4,1,5,4,3,5,5,5,5,4,5,4,4,4,2,4,4,2,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,37,33,44,39,44
4378,1,3,3,4,3,4,4,4,4,3,3,4,4,4,2,2,5,3,3,3,2,2,2,4,2,1,2,2,2,3,3,5,3,5,2,3,3,4,3,4,3,4,5,5,5,3,5,4,4,4,3,35,32,23,35,42
4379,1,1,4,2,2,5,5,1,5,4,2,3,3,2,5,3,3,5,5,3,5,3,4,4,2,2,1,3,4,4,1,4,4,5,5,4,4,5,4,5,4,3,5,4,5,4,5,5,3,5,4,31,37,28,44,43
4380,1,1,3,2,2,1,3,2,2,3,1,2,2,2,4,2,4,4,3,4,2,2,3,4,4,4,4,2,2,4,2,2,2,3,2,1,2,3,2,1,2,3,4,4,4,2,3,3,3,5,3,20,29,31,20,34
4381,2,2,5,5,5,5,5,5,1,4,5,5,3,1,5,4,5,5,5,5,5,5,5,5,5,4,4,1,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,5,42,43,43,49,46
4382,2,3,4,2,4,4,5,4,2,2,3,4,3,2,1,3,3,4,4,4,1,5,4,5,5,5,5,5,4,5,4,2,2,4,2,1,1,5,2,1,3,2,2,4,4,4,5,1,1,5,3,33,29,47,23,31
4383,2,3,5,5,5,5,5,5,4,5,5,3,5,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,4,3,4,4,4,4,4,5,5,5,4,5,5,4,5,5,5,4,4,5,47,43,46,42,46
4384,2,3,5,5,5,5,4,5,4,5,5,4,5,2,3,5,3,2,2,5,5,4,5,5,5,5,5,4,4,5,5,2,2,4,2,1,2,2,3,2,4,4,5,5,5,4,5,5,4,5,5,46,36,47,24,47
4385,2,1,3,3,1,1,2,1,1,1,1,3,5,2,3,3,4,3,5,4,3,5,3,5,5,5,5,5,5,5,5,4,3,5,3,2,4,4,3,3,5,5,3,3,3,4,5,5,3,5,5,15,35,48,36,41
4386,2,4,5,5,4,5,3,4,5,5,2,4,3,2,1,1,5,2,3,2,3,4,5,3,4,4,4,4,4,2,4,3,2,3,2,1,4,4,3,4,4,3,4,4,4,2,4,3,4,4,3,42,26,38,30,35
4387,2,3,4,5,4,5,4,5,4,4,4,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,4,5,2,5,5,4,3,4,5,42,43,50,46,42
4388,2,3,3,4,3,4,3,4,2,3,3,4,4,3,3,4,3,4,5,4,4,5,4,5,5,3,5,3,4,5,4,4,5,5,5,4,2,5,4,4,2,3,2,3,5,5,5,4,3,3,4,32,38,43,40,37
4389,2,1,2,4,1,3,4,2,1,1,1,3,3,3,3,4,3,4,4,4,4,5,4,3,5,3,4,4,4,5,3,3,3,5,3,1,3,3,3,3,3,3,4,5,5,4,5,4,3,4,4,20,35,40,30,41
4390,1,2,4,3,3,3,4,2,1,5,1,3,3,2,3,2,2,1,1,2,1,4,4,3,4,5,5,5,4,4,3,3,3,3,3,3,2,3,4,2,3,3,3,4,5,4,5,4,4,5,4,28,20,41,29,41
4391,1,3,4,4,4,5,5,5,3,3,2,1,2,1,1,1,1,1,1,1,2,5,5,3,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,38,12,48,46,49
4392,2,3,3,4,3,3,4,2,3,3,3,2,4,2,3,3,3,4,4,3,3,4,5,4,4,4,4,5,4,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,31,31,42,36,38
4393,2,5,4,4,4,3,5,4,5,5,2,3,2,1,1,4,1,2,2,2,1,5,4,3,5,5,5,4,3,5,4,3,2,3,3,4,3,5,3,4,3,5,3,3,4,4,2,3,3,5,3,41,19,43,33,35
4394,2,2,4,4,1,1,4,1,1,4,1,5,5,4,4,4,4,5,5,3,4,5,3,5,5,2,5,4,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,23,43,43,47,50
4395,1,2,1,4,3,1,2,1,3,1,1,2,5,5,4,2,4,2,5,5,5,2,3,5,4,3,5,3,4,4,3,3,1,3,3,1,1,4,3,1,1,5,2,5,4,3,3,2,1,3,3,19,39,36,21,31
4396,2,4,4,5,4,5,4,5,2,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,2,4,2,4,4,2,4,4,3,2,4,2,4,2,4,2,2,4,5,4,5,4,4,5,5,2,5,41,39,35,29,43
4397,2,1,3,2,2,3,4,1,2,4,1,2,2,2,3,3,4,4,5,4,3,4,3,2,4,4,2,4,4,4,3,2,2,4,2,1,3,3,4,4,3,4,5,5,5,4,5,4,4,5,5,23,32,34,28,46
4398,2,2,2,2,1,2,5,1,1,1,3,2,3,2,3,3,4,3,2,2,2,4,2,1,4,4,2,2,3,2,4,1,3,4,2,1,3,2,2,3,3,1,2,2,5,2,4,2,1,3,4,20,26,28,24,26
4399,1,4,5,5,4,5,4,5,3,4,5,3,3,4,3,4,4,2,3,1,5,3,5,2,3,3,3,3,3,2,4,2,4,3,4,4,4,4,3,3,4,4,4,3,5,3,4,4,4,3,3,44,32,31,35,37
4400,2,2,2,4,2,3,4,2,3,4,2,3,5,4,4,4,4,4,4,2,4,1,3,2,2,2,3,2,2,2,4,3,2,5,3,2,2,3,3,3,5,4,4,5,4,4,5,4,3,5,3,28,38,23,31,41
4401,2,2,4,2,2,4,5,1,1,1,2,2,1,2,2,1,2,2,2,2,2,5,2,4,5,5,5,4,3,5,2,2,2,2,2,5,4,4,5,4,4,3,4,3,4,3,3,3,2,4,4,24,18,40,34,33
4402,2,3,4,4,1,4,4,3,2,2,1,1,3,1,4,1,1,1,1,2,2,5,5,5,5,5,5,5,5,5,4,4,2,4,3,3,1,4,4,4,3,4,4,3,4,3,3,4,3,4,3,28,17,49,32,35
4403,1,1,1,4,1,2,2,1,1,1,4,3,2,2,2,2,2,4,5,2,2,5,4,4,4,4,3,4,5,4,3,4,4,5,5,3,5,5,5,5,5,2,5,4,5,4,2,5,4,4,5,18,26,40,46,40
4404,2,2,2,4,2,4,3,1,1,1,1,4,4,2,4,3,2,5,5,4,5,5,4,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,2,4,2,5,4,5,4,21,38,45,50,35
4405,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,4,4,4,4,2,3,2,2,4,2,3,2,2,2,1,2,4,4,4,3,4,4,5,4,5,4,5,5,4,5,4,4,5,5,5,3,10,31,22,41,45
4406,2,3,4,4,3,4,4,4,2,2,3,4,3,3,2,4,4,3,4,4,3,5,5,4,4,3,1,4,3,4,3,4,2,5,5,1,2,5,5,5,4,5,5,3,5,3,4,4,4,4,2,33,34,36,38,39
4407,2,3,5,5,5,5,5,5,3,5,2,1,2,1,2,1,1,1,1,1,4,5,3,4,5,4,5,5,5,5,5,3,2,4,3,2,3,5,3,5,3,5,5,4,5,3,5,3,2,4,3,43,15,46,33,39
4408,2,2,3,1,2,1,4,1,1,2,1,1,1,1,2,5,5,2,1,1,1,3,5,3,4,5,1,3,4,5,2,5,2,5,4,2,5,5,4,4,3,3,5,5,5,4,5,4,3,5,5,18,20,35,39,44
4409,1,3,5,3,4,3,3,5,3,2,2,4,3,3,1,3,4,4,4,3,5,4,5,4,3,5,5,5,5,5,2,1,1,4,3,1,1,2,3,2,2,4,3,5,3,3,4,2,3,3,3,33,34,43,20,33
4410,2,2,2,3,1,2,3,2,1,1,2,1,2,1,2,2,1,4,5,2,3,4,2,5,4,4,5,4,3,4,3,3,4,2,4,2,4,4,4,3,1,2,3,5,4,3,5,3,2,4,4,19,23,38,31,35
4411,1,4,4,5,4,5,4,5,4,4,4,3,3,3,2,4,4,2,3,4,4,3,4,3,4,3,3,5,4,4,5,2,3,5,2,2,3,2,3,2,5,4,4,5,4,4,5,5,4,4,4,43,32,38,29,43
4412,2,1,3,4,1,4,5,4,4,4,5,5,5,5,2,5,5,3,3,3,5,5,5,5,5,4,3,5,5,3,4,4,4,5,4,1,4,5,2,1,5,5,5,2,5,5,4,5,5,5,5,35,41,44,35,46
4413,2,4,5,5,5,5,5,5,5,5,5,4,3,3,4,2,2,3,4,5,5,3,5,3,4,4,3,4,4,3,5,3,3,5,4,2,4,2,4,2,2,4,4,5,5,4,5,3,3,3,4,49,35,38,31,40
4414,2,4,3,3,2,4,3,3,4,4,2,4,4,2,3,2,3,1,1,2,4,2,4,4,5,2,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,5,4,32,26,36,41,47
4415,2,4,5,5,5,5,5,5,1,1,5,3,3,3,3,3,3,3,3,2,3,4,5,5,5,5,5,5,4,5,5,2,2,2,5,1,3,4,3,1,4,5,5,5,5,5,5,5,5,5,5,41,29,48,27,50
4416,2,5,5,5,4,4,5,3,3,3,3,4,5,3,3,3,5,3,5,5,5,5,5,4,5,4,5,4,5,5,5,3,5,5,5,2,4,5,5,3,3,5,5,5,2,5,5,5,5,3,4,40,41,47,40,44
4417,2,3,4,4,3,4,4,3,2,2,2,2,2,3,2,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,31,29,38,38,41
4418,2,3,4,4,3,4,3,3,1,2,1,1,3,1,1,4,3,2,3,3,2,1,4,4,5,5,4,4,4,4,3,4,3,4,2,2,4,4,4,4,3,3,5,5,5,5,4,4,4,5,5,28,23,38,34,45
