,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
26,1,5,1,4,5,5,5,5,5,5,4,3,4,2,5,3,3,2,3,3,4,2,5,2,4,2,4,5,2,4,5,2,1,2,1,1,1,3,3,5,5,4,5,5,5,5,5,4,4,2,5,44,32,35,24,44
27,1,3,3,4,3,2,4,3,2,2,2,2,3,2,3,4,4,3,3,4,4,5,2,5,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,4,3,2,4,3,28,32,38,30,31
28,2,2,2,3,2,2,4,4,1,1,1,1,4,1,1,3,2,1,2,2,2,3,5,1,4,5,5,5,4,2,3,2,1,3,2,1,4,2,1,3,1,4,3,3,5,4,4,3,3,5,5,22,19,37,20,39
29,1,3,3,3,3,2,4,4,4,3,2,5,3,2,5,4,3,5,5,4,5,5,4,3,4,3,3,4,4,4,4,4,5,4,4,4,5,2,3,2,4,3,4,4,3,4,4,4,3,4,3,31,41,38,37,36
30,2,4,4,1,1,4,5,3,3,1,1,2,4,1,2,4,2,2,3,2,2,4,5,2,5,4,5,4,4,5,4,1,5,3,1,1,2,3,5,1,3,3,3,5,3,3,5,3,3,3,5,27,24,42,25,36
31,2,2,3,3,2,3,4,4,1,2,2,1,3,1,2,4,4,3,4,3,3,4,3,4,4,3,3,3,4,5,5,3,2,5,3,2,4,3,3,3,3,4,5,5,5,4,4,5,3,5,5,26,28,38,31,45
32,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,40,38,38,38,36
33,2,5,4,4,5,5,5,5,5,5,3,2,3,2,1,5,2,1,1,2,2,5,5,2,4,5,5,5,5,5,4,2,1,1,2,1,1,1,5,1,1,5,5,4,5,4,5,4,5,5,4,46,21,45,16,46
34,2,1,2,3,2,3,3,1,1,1,1,3,3,2,3,5,3,2,4,2,2,2,3,3,3,3,5,1,3,3,3,2,1,3,1,1,2,3,1,2,3,2,3,4,3,2,3,3,1,3,3,18,29,29,19,27
35,2,1,4,3,3,3,5,1,2,2,3,2,2,1,1,2,1,2,2,3,1,5,3,5,5,3,4,2,2,5,3,5,4,5,5,2,5,5,5,4,5,5,5,4,3,3,4,5,5,5,3,27,17,37,45,42
